Time,imageURL,User,Text,neg,pos,neu,dAttitude,dActivity
2020-05-27 11:07:08,http://pbs.twimg.com/profile_images/1113501416558141440/csp6nhvI_normal.png,NASAKennedy,"Tune in at 12:15 p.m. ET to witness the historic #LaunchAmerica mission to the @Space_Station. 

Watch as @Astro_Doug and @AstroBehnken make their way to Launch Complex 39A before liftoff at 4:33 p.m. ET: https://t.co/A9sbAYbCl3 https://t.co/BjdALto8Sa",35,164,34,55.04,52.36
2020-05-27 11:10:41,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@JimmieJohnson @Astro_Doug @SpaceX Both jobs are cool in their own right! Start your engines, Jimmie! 🏁",48,230,54,-12.64,4.82
2020-05-27 11:28:53,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@LewisHamilton @Astro_Doug Great shot! Thanks for tuning in, Lewis!",60,273,68,52.11,44.64
2020-05-27 11:30:50,http://pbs.twimg.com/profile_images/1189945624583720960/k6MtoeIt_normal.jpg,Space_Station,"Watch @NASA TV today to see @AstroBehnken and @Astro_Doug liftoff aboard the @SpaceX #CrewDragon to the station. #LaunchAmerica | https://t.co/yuOTrYN8CV

Live coverage📺: 12:15pm ET
Launch 🚀: 4:33pm
Docking 🚀🛰️: 11:39am Thursday https://t.co/rtELr7s1Rp",60,273,68,52.11,44.64
2020-05-27 12:02:01,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@jayobtv @NASAKennedy @SpaceX @CBS12 We love this! We hope today's launch inspires an entire generation. Thank you for sharing! 🚀,77,375,67,59.73,54.53
2020-05-27 12:21:31,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,LIVE NOW: History is about to be made. Watch as @NASA_Astronauts #LaunchAmerica to the @Space_Station from American soil for the first time in nine years: https://t.co/U1COQzFy4v https://t.co/U1COQzFy4v,65,249,62,261.96,226.86
2020-05-27 12:22:35,http://pbs.twimg.com/profile_images/1082744382585856001/rH_k3PtQ_normal.jpg,SpaceX,Webcast of Crew Dragon’s demonstration mission with @NASA astronauts @AstroBehnken and @Astro_Doug on board the spacecraft is now live → https://t.co/bJFjLCzWdK  https://t.co/aXQUcY4diB,65,249,62,261.96,226.86
2020-05-27 12:26:54,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"""I've got rocket fuel running through my veins."" Shuttle astronaut Leland Melvin (@Astro_Flow) is providing his unique perspective to this #LaunchAmerica mission: https://t.co/U1COQzFy4v https://t.co/iydlm22qXA",97,392,88,70.51,60.14
2020-05-27 12:28:51,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,Did you watch the final space shuttle launch in 2011?,79,336,80,86.77,75.56
2020-05-27 12:31:44,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"For the first time since the retirement of the space shuttle in 2011, astronauts will again leave Earth from the U.S. 

#LaunchAmerica https://t.co/nh1xWS04Im",175,565,144,138.46,65.38
2020-05-27 12:33:06,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,Interested in joining the #LaunchAmerica mission virtually? Check out our very first global @NASASocial on Facebook: https://t.co/9MrP9i4Jfu https://t.co/XfL13c31uo,150,496,119,168.79,91.11
2020-05-27 12:33:50,http://pbs.twimg.com/profile_images/1082744382585856001/rH_k3PtQ_normal.jpg,SpaceX,"Dragon has undergone thousands of hours of testing to make it one of the safest human spaceflight vehicles ever flown. In 2015, Dragon completed a pad abort test, which verified the spacecraft’s ability to safely land astronauts in the unlikely event of an emergency on the pad https://t.co/ads3u9zw5G",150,496,119,99.42,49.93
2020-05-27 12:36:36,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@JunoKeijsers Awesome! https://t.co/gL8V3PHWXD,102,452,100,33.71,34.1
2020-05-27 12:37:51,http://pbs.twimg.com/profile_images/1082744382585856001/rH_k3PtQ_normal.jpg,SpaceX,"In January 2020, Crew Dragon and Falcon 9 completed a demonstration of the system’s launch escape capabilities, verifying its ability to carry astronauts to safety if there’s an emergency in-flight https://t.co/IZRyRmB400",118,392,118,70.8,39.65
2020-05-27 12:37:51,http://pbs.twimg.com/profile_images/1082744382585856001/rH_k3PtQ_normal.jpg,SpaceX,Crew Dragon's eight SuperDraco engines powered the spacecraft away from Falcon 9 at speeds of over 400 mph,118,392,118,70.8,39.65
2020-05-27 12:40:23,http://pbs.twimg.com/profile_images/1082744382585856001/rH_k3PtQ_normal.jpg,SpaceX,"In March 2019, Crew Dragon completed its first demonstration mission – an end-to-end flight test without astronauts on board during which it became the first American spacecraft to autonomously dock with the @space_station https://t.co/2BBjtISUaU",104,436,117,74.7,61.04
2020-05-27 12:41:59,http://pbs.twimg.com/profile_images/1082744382585856001/rH_k3PtQ_normal.jpg,SpaceX,SpaceX has completed nearly 100 tests and flights of Dragon’s parachutes to ensure a safe landing back on Earth https://t.co/EOo1RwnuXm,123,426,112,231.68,128.59
2020-05-27 12:43:23,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"Time to suit up! 😎@AstroBehnken and @Astro_Doug suit up to #LaunchAmerica in the same room as the first Apollo mission, Apollo 7: https://t.co/U1COQzFy4v https://t.co/BFwdVmQN7L",106,440,85,200.9,139.46
2020-05-27 12:43:56,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,.@Astro_Doug = Crew Dragon commander for the #LaunchAmerica mission https://t.co/xWX9Fl7kYD,106,440,85,150.9,110.46
2020-05-27 12:45:35,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,.@AstroBehnken = joint operations commander for the mission https://t.co/QuSYOgvRKK,112,456,114,89.53,72.43
2020-05-27 12:47:20,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"Time to suit up! 😎@AstroBehnken and @Astro_Doug suit up to #LaunchAmerica in the same room as the first crewed Apollo mission, Apollo 7: https://t.co/U1COQzFy4v https://t.co/fJJTA9Nnz5",113,455,86,90.64,79.82
2020-05-27 12:47:25,http://pbs.twimg.com/profile_images/1113501416558141440/csp6nhvI_normal.png,NASAKennedy,".@AstroBehnken and @Astro_Doug are inside Astronaut Crew Quarters getting suited up before heading to Launch Complex 39A for their historic mission to the @space_station. 

WATCH LIVE: https://t.co/A9sbAYbCl3 https://t.co/cYjePuayRH",113,455,86,77.19,55.96
2020-05-27 12:47:55,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@Astro_Zach We're so happy you were there with us! 🚀,113,455,86,77.19,55.96
2020-05-27 12:49:49,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@KellySchwark @NASASocial Gorgeous shot!,119,413,83,110.54,62.6
2020-05-27 12:52:19,http://pbs.twimg.com/profile_images/1113501416558141440/csp6nhvI_normal.png,NASAKennedy,"Our @NASA_Astronauts are ready to #LaunchAmerica!

Their mission will mark the first time astronauts have launched from U.S. soil since 2011: https://t.co/A9sbAYbCl3 https://t.co/e4BPnloGRd",115,388,79,114.65,68.04
2020-05-27 12:53:16,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"If you were in the room with @AstroBehnken and @Astro_Doug right now, what would you say to them as they prepare to head to the launch pad to #LaunchAmerica? 🤔 https://t.co/plXl75TBbM",100,369,77,117.84,79.12
2020-05-27 12:58:13,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,Administrator @JimBridenstine and @SpaceX CEO @ElonMusk visit with @Astro_Doug and @AstroBehnken ahead of #LaunchAmerica: https://t.co/hbyeA6OsVX,101,482,120,46.46,53.2
2020-05-27 12:58:50,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@joshhowells97 @AstroBehnken @Astro_Doug It doesn't hurt to ask!,101,482,120,46.46,53.2
2020-05-27 12:58:50,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"Not available in stores.

#LaunchAmerica spacesuits are custom made. https://t.co/o3HdNHXWWI",101,482,120,46.46,53.2
2020-05-27 12:59:44,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@ericmols @AstroBehnken @Astro_Doug And thanks for all the fish!,108,584,110,11.55,30.8
2020-05-27 13:01:35,http://pbs.twimg.com/profile_images/1082744382585856001/rH_k3PtQ_normal.jpg,SpaceX,SpaceX spacesuits are designed for optimum functionality with Dragon https://t.co/QW4DirDirx,113,543,122,31.86,37.28
2020-05-27 13:03:53,http://pbs.twimg.com/profile_images/1189945624583720960/k6MtoeIt_normal.jpg,Space_Station,.@ElonMusk and @JimBridenstine pose for a portrait with astronauts @Astro_Doug and @AstroBehnken before their launch today aboard the @SpaceX #CrewDragon. #LaunchAmerica | https://t.co/yuOTrYN8CV https://t.co/3soWc9Q9cw,108,494,83,24.61,34.16
2020-05-27 13:05:15,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@AredesMarcel Excellent! You and thousands of our closest friends! https://t.co/5Qe1xHOqVf,90,425,93,48.66,54.61
2020-05-27 13:07:34,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@phoenixlp @Astro_Doug @AstroBehnken Same! Thanks for tuning in, Dave! https://t.co/pbZ15ko7nx",141,531,108,27.69,20.51
2020-05-27 13:09:02,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,Are you watching the broadcast of our historic mission at home right now? Snap a picture or share your thoughts using the hashtag #LaunchAmerica: https://t.co/innd7aLQyD,141,531,108,25.13,33.46
2020-05-27 13:11:49,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@RichardClark14 @SpaceX Thank you, Richard! Let's do this! 🇺🇸🚀",195,1312,205,-50.49,-37.32
2020-05-27 13:13:00,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,.@KellyClarkson's performance of the national anthem for #LaunchAmerica = ⭐⭐⭐⭐⭐ https://t.co/sRw8ocf8m2,195,1312,205,-50.49,-37.32
2020-05-27 13:17:17,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"They’re ready. Are you?⁣

#LaunchAmerica https://t.co/skGIqcbAAM",148,735,116,61.84,70.57
2020-05-27 13:17:40,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@kellyclarkson We've waited a lifetime for a moment like this. Thank you, Kelly! 🇺🇸🚀",148,735,116,46.51,53.95
2020-05-27 13:19:43,http://pbs.twimg.com/profile_images/1113501416558141440/csp6nhvI_normal.png,NASAKennedy,"This is the walk every Apollo and Space Shuttle astronaut has taken on their way to the launch pad. 

Now @AstroBehnken and @Astro_Doug are about to begin the drive to Launch Complex 39A before liftoff at 4:33 p.m. ET: https://t.co/A9sbAYbCl3 https://t.co/JAOhnqgJes",204,710,138,69.96,46.2
2020-05-27 13:21:44,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@Paloma220897 We're happy you're watching with us! 🚀,205,871,153,-24.47,-20.18
2020-05-27 13:22:04,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"""This is what it's all about... the people. It's about the families. We're working together as one community to get @AstroBehnken and @Astro_Doug launching off to the cosmos, to the @Space_Station."" — @Astro_Flow reflecting on the crew preparing to launch: https://t.co/ieqoM2WqT7",205,871,153,-24.47,-20.18
2020-05-27 13:24:21,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@therealmaxhill Astronaut in the making!🌟,147,745,119,-2.68,5.84
2020-05-27 13:26:07,http://pbs.twimg.com/profile_images/1189945624583720960/k6MtoeIt_normal.jpg,Space_Station,.@Astro_Doug and @AstroBehnken walk out and say farewell to their families before heading out to the launch pad and boarding the @SpaceX #CrewDragon. #LaunchAmerica | https://t.co/yuOTrYN8CV https://t.co/TAxzjR0o56,155,658,111,14.51,13.42
2020-05-27 13:27:07,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@MilesBlum Agreed, Miles! https://t.co/cp5UmUQvrf",155,658,111,14.51,13.42
2020-05-27 13:27:22,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@nishitmathur19 @SpaceX Thank you, Nishit! Onward and upward!",136,616,117,20.0,20.6
2020-05-27 13:30:05,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"""They really hit the ground running... it's great, because we have a lot to get done."" One of our @Commercial_Crew astronauts @VicGlover discusses his training for the Crew-1 mission following this #LaunchAmerica flight test: https://t.co/U1COQzFy4v https://t.co/Rv1Mm8uFXF",124,663,108,-1.3,19.66
2020-05-27 13:30:12,http://pbs.twimg.com/profile_images/1113501416558141440/csp6nhvI_normal.png,NASAKennedy,.@AstroBehnken and @Astro_Doug are inside these vehicles making their way to the @SpaceX Crew Dragon that will carry them to the @space_Station. WATCH LIVE: https://t.co/A9sbAYbCl3 https://t.co/SHNk3y32WP,124,663,108,-1.3,19.66
2020-05-27 13:34:25,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"They ride together. They fly together.

Our #LaunchAmerica crew is on the move! https://t.co/YHQ2kUFYST",160,850,137,-16.81,2.7
2020-05-27 13:38:29,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@malkoff We love this. Thanks for watching with us! https://t.co/zJ89BK2rK6,150,618,109,15.17,18.24
2020-05-27 13:39:46,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"Tell us: what space jams would you add to your launch day playlist?

#LaunchAmerica https://t.co/iSfVkETcZP",165,745,148,-19.48,-2.65
2020-05-27 13:41:41,http://pbs.twimg.com/profile_images/1082744382585856001/rH_k3PtQ_normal.jpg,SpaceX,.@NASA astronauts @AstroBehnken and @Astro_Doug arrive at Launch Complex 39A ahead of launch of Crew Dragon https://t.co/s7jxxoOPZI,172,1177,162,-49.95,-33.42
2020-05-27 13:45:46,http://pbs.twimg.com/profile_images/1189945624583720960/k6MtoeIt_normal.jpg,Space_Station,.@AstroBehnken and @Astro_Doug give a thumbs up at the launch pad and are fixing to board the @SpaceX #CrewDragon. #LaunchAmerica | https://t.co/yuOTrYN8CV https://t.co/9udiz8qsgI,178,830,168,-23.16,-11.05
2020-05-27 13:48:45,http://pbs.twimg.com/profile_images/1082744382585856001/rH_k3PtQ_normal.jpg,SpaceX,Learn more about Dragon’s design https://t.co/Fw5OZ9Ecwm,128,734,158,-19.64,-0.2
2020-05-27 13:50:21,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,The White Room is the last place on Earth that @Astro_Doug &amp; @AstroBehnken see before they get on board Crew Dragon to #LaunchAmerica. Tune in: https://t.co/U1COQzFy4v https://t.co/InXkUI25Kr,113,732,155,-10.34,21.9
2020-05-27 13:52:02,http://pbs.twimg.com/profile_images/1113501416558141440/csp6nhvI_normal.png,NASAKennedy,".@AstroBehnken and @Astro_Doug have arrived at the launch pad and are in the process of getting strapped inside the Crew Dragon before liftoff at 4:33 p.m. ET.

Watch live: https://t.co/A9sbAYbCl3 https://t.co/jST9fOG2tR",142,728,108,58.7,65.13
2020-05-27 13:52:14,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@peter87124565 Nice.,142,728,108,58.7,65.13
2020-05-27 13:52:35,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@slazear1 We've got a real jam going now.,142,728,108,58.7,65.13
2020-05-27 13:52:52,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"✔️ Strapped in 
✔️ Ready for the ride

#LaunchAmerica https://t.co/qJeBMFEWvS",142,728,108,58.7,65.13
2020-05-27 13:57:06,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@ZanderStiverson Hurry, boy, it's waiting there for you. (The rocket, that is.)",176,804,166,95.06,76.35
2020-05-27 14:05:15,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@mlanger @SpaceX Hi, Maria! You can watch it live on our homepage at https://t.co/JSDausMuVv or stream our YouTube channel at https://t.co/Yow4nHcNTX. Thank you for watching history with us!",154,635,130,17.26,16.0
2020-05-27 14:06:34,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@bastilledan @NASA_Astronauts We're pretty stoked, Dan. Let's go! https://t.co/H0p1sW2uqu",150,648,142,13.25,13.4
2020-05-27 14:07:24,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,".@SpaceX's Dragon vehicle was designed from scratch 12 years ago to carry cargo from Earth to @Space_Station. 

Key upgrades were made to make it human rated and able to #LaunchAmerica today. https://t.co/fUgx4iI5j6",150,648,142,2.61,8.62
2020-05-27 14:16:00,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,".@thephysicsgirl asks: What goes into a mission like this? 

Watch #LaunchAmerica broadcast to find out: https://t.co/U1COQzFy4v https://t.co/GT5BidDeqi",257,1207,240,-51.79,-40.96
2020-05-27 14:19:05,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@ElizabethBanks Love it! May the odds be ever in our favor. ✌️,229,1089,220,-31.4,-21.72
2020-05-27 14:21:04,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,“This is a monumental achievement. It’s a herculean task.” – Administrator @JimBridenstine #LaunchAmerica https://t.co/SxclcGeEoM,210,925,172,-17.48,-7.88
2020-05-27 14:23:08,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"""This is a dream come true, I think for me, and everyone at @SpaceX."" @ElonMusk is ready to #LaunchAmerica: https://t.co/xgScFca9eY",172,675,134,47.91,42.1
2020-05-27 14:32:57,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@Dastylishfoodie @SpaceX Awesome! https://t.co/xJ0n3eFWWL,185,767,180,-6.53,7.16
2020-05-27 14:34:30,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"“We let the... American commercial industry innovate, and they came up with solutions that had never been dreamed of before. And that’s really the success of this program.”: 

#LaunchAmerica https://t.co/A029Co60kS",221,795,162,-5.23,2.97
2020-05-27 14:34:35,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"""We want to inspire kids to say that one day, they want to wear that uniform."" @ElonMusk comments on how the #LaunchAmerica mission will propel the future of human spaceflight: https://t.co/27I1RkqrVo",221,795,162,-5.23,2.97
2020-05-27 14:36:00,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"“We let the...American commercial industry innovate, and they came up with solutions that had never been dreamed of before. And that’s really the success of this program.” -Administrator @JimBridenstine

#LaunchAmerica https://t.co/4vF8UDEbCU",213,723,181,30.98,14.41
2020-05-27 14:39:55,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@BretLaBelle @elonmusk Thanks, Bret! 🚀",198,665,167,23.34,20.1
2020-05-27 14:43:39,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@starstrickenSF @patricia_pierry @AlexGelle We won't tell. https://t.co/JPxldarqTb,189,690,167,32.34,16.83
2020-05-27 14:45:36,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@FallenAngel8831 Thanks for watching with us! 🚀,172,717,149,28.07,25.72
2020-05-27 14:47:02,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,The hatch is closed. The crew is settled in. #LaunchAmerica is on. https://t.co/qZTR3QAQjM,172,717,149,167.34,134.01
2020-05-27 14:51:40,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"@GuruOfficial @Twitter Thanks for watching with us, Guru! Let's do this thing! 🚀",253,1183,179,19.57,39.63
2020-05-27 14:51:50,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,People all across the world are excited to #LaunchAmerica. https://t.co/Ey2eqbZzEk,253,1183,179,19.57,39.63
2020-05-27 14:54:46,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,Air Force 1 arrives at @NASAKennedy with special guest @POTUS on board to watch us #LaunchAmerica with American astronauts from American soil for the first time since 2011. https://t.co/xWNIsS5nfM,325,1854,299,-38.98,-22.24
2020-05-27 14:56:39,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@amylitteral We'll be here when she's ready! 👩‍🚀🚀,260,1485,276,-35.59,-18.01
2020-05-27 14:57:43,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,@seanmclainbrown @SpaceX We love that energy! Thanks for watching history with us!🚀,226,1203,245,-19.24,-1.02
2020-05-27 15:03:06,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"Time to tune in on your favorite device for #LaunchAmerica 🚀

Coming up soon is the launch readiness poll (3:48 pm ET) in which the team votes GO or NO GO for liftoff of @Astro_Doug and @AstroBehnken! 
 
💻📱📺 https://t.co/U1COQzFy4v",230,913,186,27.38,29.42
2020-05-27 15:07:53,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"""My first spaceflight was from @NASAKennedy on the space shuttle Discovery. That was 15 years ago, but my memory is still fresh."" @Astro_Soichi of @JAXA_en will be on the Crew-1 mission following this historic #LaunchAmerica flight test: https://t.co/2us60Q09ZN",171,682,168,56.56,67.58
2020-05-27 15:10:14,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"""Take that moment, enjoy it. Really welcome the opportunity to have part of your mission be taking it all in and sharing it with the people who got you there."" - @Astro_Christina #LaunchAmerica https://t.co/GajkSQOpp3",184,695,150,41.29,57.63
2020-05-27 15:16:55,http://pbs.twimg.com/profile_images/1082744382585856001/rH_k3PtQ_normal.jpg,SpaceX,Artwork by @tristaneaton flying aboard Dragon https://t.co/4ZbQhcZQvp,203,661,142,51.97,103.88
2020-05-27 15:19:46,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"Thanks for your well wishes for our #LaunchAmerica journey, Captain! Let's boldly go. 🚀✨
@WilliamShatner

#LaunchAmerica https://t.co/J3xmra8j7H",213,803,188,-251.86,180.32
2020-05-27 15:19:56,http://pbs.twimg.com/profile_images/1082744382585856001/rH_k3PtQ_normal.jpg,SpaceX,"On board Dragon will be a mosaic of graduates’ images – congratulations, class of 2020! → https://t.co/MUoy64B1b0 https://t.co/kH7aNyv50s",213,803,188,-251.86,180.32
2020-05-27 15:20:06,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,"#LaunchAmerica is quite an accomplishment, says @BillNye 🇺🇸 

RT if you agree https://t.co/nXy0cDHLDE",213,803,188,-251.86,180.32
2020-05-27 15:20:12,http://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,NASA,Would you travel to space?,213,803,188,-251.86,180.32
